Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Anomaly2 (deg C)
1943,0.006414075,-0.19959097,0.21241911,0.362914075
1944,0.14410514,-0.054494828,0.3427051,0.50060514
1945,0.043088365,-0.15728289,0.24345961,0.399588365
1946,-0.1188128,-0.2659574,0.028331792,0.2376872
1947,-0.091205545,-0.23179041,0.04937931,0.265294455
1948,-0.12466127,-0.25913337,0.009810844,0.23183873
1949,-0.14380224,-0.2540775,-0.033526987,0.21269776
1950,-0.22662179,-0.33265698,-0.12058662,0.12987821
1951,-0.06115397,-0.15035024,0.028042298,0.29534603
1952,0.015354565,-0.08293597,0.11364509,0.371854565
1953,0.07763074,-0.020529618,0.1757911,0.43413074
1954,-0.11675021,-0.20850271,-0.024997713,0.23974979
1955,-0.19730993,-0.28442997,-0.1101899,0.15919007
1956,-0.2631656,-0.33912563,-0.18720557,0.0933344
1957,-0.035334926,-0.10056862,0.029898768,0.321165074
1958,-0.017632553,-0.083074555,0.04780945,0.338867447
1959,-0.048004825,-0.11036375,0.0143541,0.308495175
1960,-0.115487024,-0.17416587,-0.056808177,0.241012976
1961,-0.019997388,-0.07078052,0.030785747,0.336502612
1962,-0.06405444,-0.11731443,-0.010794453,0.29244556
1963,-0.03680589,-0.09057008,0.016958294,0.31969411
1964,-0.30586675,-0.34949213,-0.26224136,0.05063325
1965,-0.2043879,-0.25357357,-0.15520222,0.1521121
1966,-0.14888458,-0.19839221,-0.09937696,0.20761542
1967,-0.11751631,-0.16062479,-0.07440783,0.23898369
1968,-0.1686323,-0.21325313,-0.124011464,0.1878677
1969,-0.031366713,-0.07186544,0.009132013,0.325133287
1970,-0.08510657,-0.12608096,-0.04413217,0.27139343
1971,-0.20593274,-0.24450706,-0.16735843,0.15056726
1972,-0.0938271,-0.13171694,-0.05593726,0.2626729
1973,0.04993336,0.013468528,0.086398184,0.40643336
1974,-0.17253734,-0.21022376,-0.1348509,0.18396266
1975,-0.11075424,-0.15130512,-0.07020335,0.24574576
1976,-0.21586166,-0.25588378,-0.17583954,0.14063834
1977,0.10308852,0.060056705,0.14612034,0.45958852
1978,0.005255772,-0.034576867,0.04508841,0.361755772
1979,0.09085813,0.062358618,0.119357646,0.44735813
1980,0.19607207,0.162804,0.22934014,0.55257207
1981,0.25001204,0.21939126,0.28063282,0.60651204
1982,0.034263328,-0.005104665,0.07363132,0.390763328
1983,0.22383861,0.18807402,0.2596032,0.58033861
1984,0.04800471,0.011560736,0.08444869,0.40450471
1985,0.04972978,0.015663471,0.08379609,0.40622978
1986,0.09568697,0.064408,0.12696595,0.45218697
1987,0.2430264,0.21218552,0.27386728,0.5995264
1988,0.28215173,0.2470353,0.31726816,0.63865173
1989,0.17925027,0.14449838,0.21400215,0.53575027
1990,0.36056247,0.32455227,0.39657268,0.71706247
1991,0.33889654,0.30403617,0.3737569,0.69539654
1992,0.124896795,0.09088206,0.15891153,0.481396795
1993,0.16565846,0.12817313,0.2031438,0.52215846
1994,0.23354977,0.19841294,0.2686866,0.59004977
1995,0.37686616,0.34365577,0.41007656,0.73336616
1996,0.2766894,0.24318004,0.31019878,0.6331894
1997,0.4223085,0.39009082,0.4545262,0.7788085
1998,0.57731646,0.54304415,0.6115888,0.93381646
1999,0.32448497,0.29283476,0.35613516,0.68098497
2000,0.3310848,0.29822788,0.36394167,0.6875848
2001,0.48928034,0.4580683,0.5204924,0.84578034
2002,0.5434665,0.51278186,0.57415116,0.8999665
2003,0.5441702,0.5112426,0.5770977,0.9006702
2004,0.46737072,0.43433833,0.5004031,0.82387072
2005,0.60686255,0.5757053,0.6380198,0.96336255
2006,0.5725527,0.541973,0.60313237,0.9290527
2007,0.5917013,0.56135315,0.6220495,0.9482013
2008,0.46564984,0.43265733,0.49864236,0.82214984
2009,0.5967817,0.56525564,0.6283077,0.9532817
2010,0.68037146,0.649076,0.7116669,1.03687146
2011,0.53769773,0.5060012,0.5693943,0.89419773
2012,0.5776071,0.5448553,0.6103589,0.9341071
2013,0.6235754,0.5884838,0.6586669,0.9800754
2014,0.67287165,0.63890487,0.7068384,1.02937165
2015,0.82511437,0.79128706,0.8589417,1.18161437
2016,0.93292713,0.90176356,0.96409065,1.28942713
2017,0.84517425,0.81477475,0.87557375,1.20167425
2018,0.762654,0.731052,0.79425603,1.119154
2019,0.8910726,0.85678726,0.92535794,1.2475726
2020,0.9227938,0.8882121,0.9573755,1.2792938
2021,0.7618559,0.72544336,0.79826844,1.1183559
2022,0.8008839,0.6884315,0.91333634,1.1573839
